CD,FI3312A,FI3312B
6.011,28.951,31.324
6.011,29.264,31.376
6.010,29.071,31.471
6.011,28.901,31.488
6.010,29.470,31.255
6.010,28.899,31.488
6.009,29.830,31.422
6.010,29.386,31.237
6.012,28.743,31.218
6.011,29.800,31.945
6.011,29.270,31.809
6.012,29.961,31.762
6.012,29.879,31.659
6.012,29.725,31.858
6.013,29.813,31.651
6.013,29.557,31.742
6.012,29.290,31.712
6.012,29.925,31.818
6.010,29.241,31.740
6.010,29.681,31.765
6.010,29.142,31.715
6.010,29.298,31.897
6.011,29.059,31.589
6.011,29.117,31.553
6.013,29.427,31.693
6.010,29.546,31.426
6.013,29.228,31.669
6.011,29.797,31.628
6.011,29.202,31.619
6.010,29.889,31.618
6.009,30.111,31.623
6.011,29.567,31.794
6.011,30.072,31.575
6.011,29.515,31.719
6.011,29.994,31.522
6.012,29.883,31.464
6.012,30.079,31.625
6.011,29.927,31.625
6.011,30.014,31.683
6.011,29.860,31.689
6.010,29.207,31.854
6.011,30.153,31.720
6.010,29.336,31.732
6.011,29.938,31.471
6.011,29.709,31.518
6.011,29.848,31.652
6.012,29.865,31.480
6.010,29.822,31.757
6.010,29.350,31.809
6.011,29.032,31.636
6.010,29.507,31.816
6.010,29.250,31.747
6.009,29.188,31.567
6.010,29.134,31.706
6.010,30.097,31.798
6.012,29.530,31.741
6.011,29.899,31.708
5.060,29.387,31.815
3.677,19.479,31.181
4.046,23.984,31.319
6.012,28.577,31.586
6.011,28.484,31.510
6.010,28.446,31.503
6.011,28.329,31.678
6.010,27.753,31.552
6.010,28.433,31.608
6.010,28.556,31.651
6.009,28.170,31.415
6.012,28.441,31.667
6.009,28.648,31.483
6.010,28.739,31.502
6.010,28.685,31.542
6.010,28.684,31.374
6.010,28.042,31.452
6.012,28.647,31.537
6.011,28.417,31.405
6.013,28.206,31.685
6.014,28.456,31.623
6.014,28.625,31.786
6.014,28.144,31.516
6.014,28.357,31.622
6.013,28.299,31.644
6.012,28.677,31.869
6.012,28.317,31.703
6.011,28.421,31.511
6.011,28.425,31.615
6.011,28.584,31.748
6.010,28.543,31.415
6.010,28.699,31.573
6.010,28.726,31.570
6.011,28.474,31.516
6.011,28.203,31.812
6.011,28.749,31.553
6.010,28.584,31.512
6.011,28.536,31.521
6.011,28.668,31.672
6.012,28.322,31.910
6.012,28.105,31.575
6.013,28.082,31.492
6.014,28.614,31.631
6.011,28.229,31.568
6.013,28.162,31.677
6.013,28.717,31.682
6.012,28.133,31.631
6.012,28.385,31.604
6.012,28.042,31.586
6.011,28.329,31.632
6.011,28.327,31.889
6.012,28.382,31.796
6.013,28.440,31.860
6.013,28.840,31.910
6.012,28.451,31.620
6.012,28.558,31.726
6.013,28.407,31.512
6.010,28.575,31.777
6.012,28.434,31.565
6.013,28.526,31.723
6.012,27.914,31.618
6.013,28.344,31.761
6.013,28.152,31.778
6.013,28.672,31.778
6.014,28.268,31.614
6.012,28.547,31.534
6.014,28.533,31.539
6.015,28.676,31.638
6.014,28.669,31.428
6.014,28.709,31.459
6.013,28.440,31.645
6.014,28.378,31.656
6.015,27.937,31.651
6.014,28.757,31.393
6.012,28.627,31.654
6.014,28.269,31.402
6.012,28.679,31.559
6.011,28.002,31.593
6.011,28.409,31.742
6.012,28.631,31.809
6.011,28.049,31.598
6.012,28.019,31.854
6.011,28.472,31.638
4.293,21.429,31.593
4.261,21.012,31.283
4.260,21.204,31.373
4.261,20.972,31.301
4.261,20.943,31.219
4.260,21.051,31.054
4.262,21.199,31.101
4.261,21.199,30.986
4.260,21.132,31.254
4.260,21.202,30.869
4.260,20.859,31.298
4.260,21.158,31.353
4.260,20.921,31.068
6.011,29.296,31.746
6.012,29.263,31.697
6.011,29.439,31.422
6.011,29.432,31.336
6.009,29.368,31.577
6.010,29.432,31.352
6.009,29.070,31.435
6.009,29.342,31.384
6.011,29.524,31.461
6.010,29.266,31.600
6.010,29.445,31.470
6.011,29.362,31.448
6.011,29.362,31.590
6.011,29.376,31.705
6.012,29.405,31.464
6.012,29.501,31.716
6.012,29.420,31.585
6.011,29.432,31.599
6.011,29.492,31.573
6.011,29.440,31.747
6.011,29.367,31.801
6.011,29.387,31.623
6.014,29.651,31.846
6.010,29.713,31.758
6.011,29.678,31.768
6.011,29.071,31.613
6.014,29.342,31.519
6.012,29.572,31.440
6.012,29.480,31.268
6.011,29.570,31.447
6.011,29.608,31.734
6.012,29.546,31.605
6.013,29.434,31.574
6.014,29.722,31.756
6.013,29.646,31.926
6.013,29.686,31.480
6.012,29.553,31.363
6.013,29.561,31.534
6.013,29.594,31.621
6.013,29.489,31.559
6.012,29.687,31.637
6.011,29.799,31.668
6.011,29.747,31.545
6.011,29.646,31.702
6.011,29.567,31.612
6.009,29.634,31.653
6.010,29.689,31.676
6.012,29.766,31.835
6.011,29.016,31.698
6.010,29.659,31.576
6.013,29.651,31.587
6.011,29.542,31.648
6.011,29.754,31.417
6.012,29.660,31.740
6.012,29.614,31.834
6.012,29.651,31.708
6.012,29.629,31.578
6.012,29.706,31.606
6.013,29.688,31.493
6.013,29.768,31.628
6.013,29.371,31.510
6.012,29.794,31.767
6.011,29.729,31.961
6.012,29.739,31.677
6.010,29.609,31.665
6.011,29.779,31.902
6.010,29.855,31.607
6.010,29.452,31.715
6.009,29.569,31.586
6.011,29.593,31.798
6.010,29.628,31.618
6.011,29.589,31.640
6.011,29.603,31.376
6.011,29.475,31.473
6.011,29.611,31.665
6.009,29.788,31.415
6.012,29.575,31.661
6.013,29.811,31.632
6.012,29.771,31.707
6.012,29.858,31.785
6.013,29.653,31.538
6.013,29.628,31.879
6.012,29.581,31.652
6.013,29.923,31.695
6.012,29.814,31.622
6.012,29.946,31.648
6.011,29.757,31.673
6.011,29.159,31.625
6.013,29.740,31.826
6.010,29.676,31.757
6.010,29.733,31.734
6.011,29.712,31.676
6.010,29.706,31.539
6.012,29.393,31.502
6.011,29.062,31.638
6.010,29.618,31.541
6.011,29.589,31.630
6.010,29.627,31.560
6.013,29.661,32.056
6.013,29.770,31.377
6.013,29.732,31.794
6.012,29.698,31.629
6.014,29.836,31.716
6.014,29.826,31.750
6.014,29.826,31.419
6.013,29.792,31.796
6.014,29.900,31.516
6.012,29.660,31.561
6.012,29.830,31.595
6.011,29.721,31.862
6.012,29.740,31.666
6.012,29.673,31.512
6.011,29.550,31.699
6.012,29.689,31.623
6.015,29.792,31.855
6.013,29.020,31.800
6.011,29.716,31.711
6.013,29.441,31.787
6.012,29.691,31.510
6.013,29.687,31.754
6.013,29.685,31.517
6.014,29.417,31.762
6.014,29.636,31.622
6.015,29.220,31.731
6.015,29.702,31.542
6.013,29.838,31.638
6.014,29.437,31.756
6.013,29.711,31.650
6.013,29.716,31.722
6.011,29.872,31.724
6.010,29.534,31.561
6.012,29.662,31.511
6.012,29.779,31.826
6.011,29.797,31.477
6.012,29.658,31.484
6.013,29.796,31.592
6.014,29.657,31.547
6.013,28.938,31.558
6.013,29.738,31.583
6.013,29.799,31.622
6.014,29.755,31.636
6.013,29.377,31.702
5.982,29.848,31.648
6.013,29.983,31.639
6.013,29.619,31.740
6.014,29.812,31.757
6.012,29.805,31.496
6.014,29.460,31.637
6.013,29.581,31.632
6.013,29.093,31.548
6.012,29.074,31.755
6.013,29.739,31.343
6.012,29.652,31.608
6.012,29.318,31.716
6.014,29.391,31.446
6.011,29.652,31.408
6.011,29.854,31.823
6.011,29.724,31.686
6.011,29.670,31.626
6.011,29.902,31.700
6.010,29.674,31.475
6.010,29.809,31.603
6.013,29.853,31.644
6.014,29.491,31.725
6.014,29.191,31.956
6.013,29.838,31.675
6.013,29.721,31.619
6.014,29.699,31.552
6.015,29.632,31.662
6.015,29.731,31.495
6.014,29.660,31.598
6.014,29.831,31.741
6.014,29.720,31.742
6.012,29.850,31.733
6.014,29.896,31.654
6.013,29.310,31.646
6.013,29.722,31.784
6.012,29.623,31.718
6.013,29.874,31.703
6.012,29.696,31.464
6.011,29.819,31.439
6.011,29.421,31.627
6.014,28.992,31.613
6.013,29.603,31.593
6.011,29.857,31.506
6.012,29.677,31.752
6.013,29.820,31.532
6.014,29.793,31.480
6.014,29.100,31.691
6.014,29.802,31.287
6.014,29.717,31.506
6.013,29.163,31.686
6.015,29.245,31.679
6.014,29.497,31.584
6.014,29.715,31.815
6.013,29.701,31.464
6.012,29.571,31.743
6.013,29.419,31.884
6.013,29.356,31.698
6.014,29.452,31.753
6.012,29.591,31.672
6.013,29.549,31.688
6.010,29.619,31.723
6.012,28.791,31.661
6.012,28.755,31.582
6.011,29.130,31.899
6.011,29.317,31.902
6.013,29.526,31.681
6.012,29.570,31.550
6.013,29.336,31.369
6.012,29.337,31.274
6.014,28.833,31.578
6.014,29.452,31.651
6.013,29.428,31.654
6.013,28.829,31.456
6.013,29.487,31.562
6.013,29.581,31.733
6.013,28.759,31.590
6.012,29.202,31.704
6.013,29.785,31.673
6.012,29.126,31.405
6.012,29.557,31.661
6.012,28.791,31.468
6.010,29.557,31.455
6.012,29.210,31.575
6.010,28.844,31.709
6.010,29.370,31.731
6.010,29.650,31.610
6.010,28.880,31.494
6.011,29.533,31.647
6.011,29.681,31.572
6.012,29.297,31.622
6.011,29.524,31.535
6.010,29.537,31.502
6.009,29.551,31.410
6.009,29.432,31.447
6.009,29.474,31.821
6.009,29.807,31.817
6.010,29.388,31.790
6.011,29.645,31.548
6.010,29.413,31.799
6.009,28.950,31.503
6.010,29.465,31.488
6.009,29.523,31.495
6.009,29.504,31.472
6.010,29.493,31.434
6.012,29.334,31.181
6.011,29.350,31.691
6.012,29.502,31.570
6.011,28.884,31.690
6.009,29.607,31.539
6.010,29.567,31.465
6.012,29.121,31.484
6.013,29.570,31.512
6.014,29.756,31.727
6.015,29.204,31.422
6.014,29.448,31.612
6.014,29.793,31.702
6.014,29.051,31.489
6.013,29.548,31.395
6.013,28.800,31.610
6.013,29.766,31.327
6.013,29.565,31.506
6.015,29.637,31.459
6.014,29.347,31.557
6.013,29.463,31.644
6.011,29.521,31.700
6.012,29.565,31.873
6.011,29.616,31.603
6.013,29.228,31.910
6.011,29.665,31.817
6.011,29.651,31.741
6.009,29.745,31.736
6.012,29.652,31.816
6.013,29.478,32.003
6.011,29.697,31.814
6.016,29.642,31.752
6.015,29.706,31.876
6.015,28.958,31.747
6.014,29.492,31.430
6.014,29.706,31.636
6.014,29.560,31.661
6.012,29.648,31.832
6.013,29.724,31.625
6.013,29.430,31.406
6.014,29.530,31.368
6.013,29.511,31.481
6.012,29.840,31.463
6.013,29.507,31.607
6.012,29.550,31.484
6.011,29.323,30.950
6.009,29.451,31.072
6.010,29.880,31.540
6.010,29.620,31.373
6.010,28.909,31.402
6.012,28.940,31.530
6.011,29.025,31.499
6.012,29.726,31.373
6.012,29.892,31.752
6.013,29.876,31.401
6.013,29.947,31.402
6.014,29.890,31.711
6.013,29.982,31.763
6.012,29.031,31.512
6.012,29.894,31.807
6.012,29.991,31.894
6.013,29.840,31.774
6.012,30.008,31.784
6.012,29.813,31.679
6.012,29.829,31.884
6.013,29.880,31.468
6.012,29.345,31.367
6.012,29.858,31.462
6.011,29.747,31.305
6.013,29.889,31.412
6.013,29.387,31.628
6.012,29.690,31.538
6.014,29.549,31.612
6.013,29.694,31.651
6.013,29.943,31.737
6.013,29.750,31.892
6.014,29.836,31.707
6.014,29.810,31.471
6.014,29.913,31.663
6.013,29.746,31.502
6.013,29.712,31.783
6.013,29.829,31.519
6.012,29.958,31.612
6.013,29.769,31.784
6.013,29.882,31.494
6.013,29.559,31.586
6.014,29.712,31.533
6.012,29.778,31.460
6.012,29.831,31.567
6.012,29.909,31.561
6.011,29.797,31.489
6.012,29.702,31.477
6.012,29.845,31.451
6.010,29.229,31.452
6.010,29.687,31.687
6.011,29.873,31.732
6.009,29.682,31.624
6.011,29.700,31.665
6.011,29.519,31.550
6.011,29.688,31.806
6.013,29.658,31.490
6.012,29.432,31.599
6.012,29.612,31.561
6.012,29.234,31.578
6.012,29.137,31.579
6.011,29.355,31.247
6.011,29.839,31.692
6.015,29.223,31.774
6.012,29.820,31.674
6.012,29.864,31.635
6.012,29.632,31.569
6.013,29.251,31.569
6.012,29.774,31.629
6.012,29.458,31.538
6.013,29.850,31.382
6.012,29.828,31.549
6.012,29.779,31.464
6.011,29.837,31.384
6.012,28.960,31.344
6.013,29.165,31.584
6.014,28.988,31.571
6.014,29.866,31.465
6.013,29.632,31.535
6.013,29.892,31.485
6.013,29.794,31.509
6.014,29.879,31.742
6.012,29.760,31.318
6.013,29.833,31.507
6.012,29.581,31.508
6.013,29.923,31.641
6.012,29.805,31.560
6.012,29.929,31.768
6.010,30.042,31.617
6.011,29.624,31.552
6.011,29.737,31.472
6.011,29.685,31.625
6.011,29.795,31.533
6.013,29.800,31.601
6.013,29.632,31.569
6.013,29.927,31.628
6.013,29.745,31.543
6.013,29.967,31.523
6.014,29.680,31.641
6.014,29.835,31.739
6.014,29.902,31.640
6.014,29.106,31.542
6.012,29.825,31.559
6.012,29.953,31.404
6.012,29.880,31.776
6.012,29.827,31.510
6.013,29.881,31.617
6.012,29.723,31.655
6.014,29.804,31.665
6.013,29.780,31.547
6.015,29.824,31.429
6.015,29.736,31.495
6.013,29.651,31.521
6.014,29.802,31.815
6.012,29.889,31.575
6.013,29.913,31.651
6.013,29.889,31.603
6.013,30.014,31.708
6.014,29.381,31.516
6.014,29.884,31.521
6.015,29.805,31.622
6.015,29.656,31.828
6.014,29.671,31.487
6.015,29.827,31.519
6.013,29.814,31.535
6.012,29.620,31.760
6.012,29.835,31.742
6.013,29.701,31.453
6.013,29.968,31.548
6.013,29.913,31.663
6.012,29.818,31.510
6.012,29.673,31.378
6.014,29.864,31.662
6.012,29.684,31.559
6.012,29.837,31.513
6.012,29.990,31.680
6.013,29.902,31.491
6.013,29.907,31.591
6.014,29.575,31.699
6.014,29.987,31.561
6.013,29.971,31.597
6.015,29.678,31.690
6.015,29.772,31.848
6.015,29.872,31.713
6.014,29.737,31.715
6.014,29.734,31.555
6.012,30.046,31.799
6.014,29.790,31.453
6.013,29.737,31.674
6.014,29.760,31.636
6.015,29.981,31.628
6.012,29.637,31.596
6.013,29.738,31.651
6.012,29.519,31.387
6.013,29.561,31.655
6.013,29.132,31.803
6.014,29.943,31.589
6.012,29.858,31.723
6.013,29.158,31.760
6.013,29.986,31.834
2.547,15.496,30.883
2.455,15.722,30.885
2.331,17.235,30.878
6.011,28.539,29.879
6.013,28.528,29.749
6.012,28.539,30.292
6.013,28.022,30.227
6.013,28.458,30.748
6.014,28.536,30.403
6.013,28.134,30.608
6.013,28.091,30.712
6.012,27.955,30.616
3.047,16.188,30.184
2.454,14.097,29.611
2.454,13.972,29.744
2.455,13.949,29.995
2.454,13.973,29.776
2.453,13.973,29.690
2.454,13.976,29.674
2.453,13.893,29.426
2.452,13.781,29.889
2.454,13.851,29.941
2.452,13.858,29.765
2.453,13.784,29.628
2.452,13.747,29.399
6.012,28.888,30.458
6.012,28.566,30.233
6.012,28.278,30.391
6.013,28.608,30.807
6.014,28.223,30.146
6.012,28.359,30.573
6.014,28.875,29.766
6.013,28.528,30.302
6.012,28.434,30.501
4.294,25.381,29.749
2.452,14.447,30.687
2.451,14.397,30.935
2.454,14.474,30.775
2.453,14.476,30.316
2.453,14.416,30.525
2.452,14.328,30.879
2.453,14.412,30.793
2.453,14.446,30.558
2.453,14.507,30.761
2.453,14.500,30.699
2.453,14.492,30.567
2.453,14.473,30.525
6.012,30.025,31.576
6.011,30.045,31.801
6.012,29.969,31.543
6.012,29.975,31.607
6.011,30.036,31.478
6.011,30.133,31.433
6.012,30.031,31.910
6.012,30.106,31.382
6.013,30.203,32.019
2.456,14.873,31.256
2.454,14.511,30.867
2.455,14.567,30.977
2.454,14.543,31.034
2.454,14.424,30.682
2.452,14.295,30.755
2.454,14.431,31.026
2.453,14.490,30.703
2.453,14.262,30.429
2.451,14.206,30.784
2.450,14.210,30.836
2.451,14.247,30.592
2.451,14.314,30.619
6.010,29.725,31.066
6.010,29.682,31.544
6.011,29.735,31.150
6.009,29.627,31.202
6.011,29.938,31.426
6.011,29.572,31.622
6.010,29.863,30.827
6.009,29.761,31.078
6.011,29.943,31.252
3.372,18.977,30.628
2.452,13.220,30.570
2.454,13.314,30.687
2.455,13.367,30.890
2.456,13.552,30.898
2.456,13.592,31.165
2.455,14.006,31.017
2.455,14.140,31.060
2.455,14.100,31.082
2.454,14.074,30.700
2.455,14.030,31.073
2.454,14.023,30.528
2.453,13.964,30.570
6.010,29.561,31.508
6.010,28.799,31.395
6.011,29.264,31.302
6.011,29.392,31.356
6.011,29.243,31.362
6.008,28.773,31.347
6.008,29.241,31.158
6.010,29.291,31.129
6.010,29.094,31.285
6.010,29.171,31.357
6.008,29.270,31.538
6.012,29.215,31.143
6.011,28.541,31.056
6.012,29.190,31.379
6.013,28.871,31.056
6.010,29.234,31.225
6.012,29.182,31.103
6.010,29.097,31.343
6.010,29.027,30.960
6.009,28.429,30.874
6.008,29.008,30.712
6.007,29.036,30.868
6.006,29.088,30.896
6.006,29.161,31.276
6.005,29.094,30.727
6.006,29.192,30.798
6.006,29.207,30.760
6.005,29.080,30.633
6.005,29.081,30.571
6.003,29.079,30.721
6.003,29.005,30.342
6.005,28.967,30.888
6.006,29.225,30.957
6.009,29.308,30.828
6.011,29.096,31.000
6.011,29.198,30.875
6.010,29.254,30.981
6.012,29.387,31.209
6.013,29.420,31.040
6.013,29.380,31.231
6.012,29.237,31.156
6.011,29.236,31.512
6.012,29.355,31.349
6.011,29.199,30.963
6.010,29.233,30.899
6.009,29.016,30.853
6.009,29.131,30.815
6.008,28.879,30.862
6.009,29.191,30.857
6.008,29.399,30.982
6.008,29.229,30.911
6.008,29.174,30.724
6.007,28.961,30.944
6.009,29.309,31.044
6.011,29.250,30.561
6.012,28.861,30.256
6.012,28.337,30.620
6.014,28.432,30.744
6.013,28.366,30.598
6.012,28.314,30.306
6.012,28.089,30.705
6.013,28.296,30.793
6.013,28.996,30.780
6.012,28.486,30.728
6.012,28.629,30.610
6.013,28.467,30.850
6.012,28.045,30.927
6.009,29.037,30.651
6.011,29.345,30.683
6.012,28.782,30.577
6.010,29.381,30.324
6.011,29.546,30.550
6.011,29.500,30.691
6.010,29.414,30.379
6.010,29.394,30.313
6.012,28.964,30.595
6.013,29.598,30.664
6.013,28.819,30.590
6.013,28.900,30.659
6.015,29.511,30.811
6.016,29.499,30.851
6.016,29.515,30.719
6.014,29.478,30.925
6.015,29.514,30.815
6.013,29.594,30.583
6.012,29.591,30.900
6.013,29.500,30.576
6.011,29.362,30.758
6.011,29.476,30.653
6.014,29.126,30.552
6.014,29.373,30.785
6.013,28.789,30.739
6.014,29.406,30.420
6.013,29.621,30.581
6.011,29.026,30.605
6.011,28.861,30.795
6.012,29.559,30.218
6.014,29.643,30.807
6.015,28.862,30.464
6.017,29.613,30.726
6.015,29.548,30.656
6.015,29.659,30.602
6.017,29.593,30.429
6.017,29.482,30.640
6.015,28.901,30.312
6.014,28.685,30.470
6.013,29.552,30.558
6.014,28.837,30.586
6.013,29.008,30.471
6.014,29.603,30.485
6.012,29.589,30.656
6.013,28.778,30.696
6.014,29.422,30.614
6.013,29.551,30.649
6.013,29.568,30.387
6.014,29.649,30.627
6.013,28.599,30.564
6.013,29.505,30.540
6.013,29.591,30.199
3.677,18.954,30.308
3.678,18.999,30.264
3.678,18.981,29.986
3.678,18.975,30.170
3.679,18.976,29.942
3.678,18.977,29.981
3.678,18.956,29.895
3.677,18.954,29.880
3.677,18.909,29.847
3.677,18.902,30.000
3.677,18.906,30.090
3.678,18.894,30.075
3.677,18.904,30.210
6.012,28.606,30.441
6.013,28.562,30.416
6.010,28.523,30.515
6.010,28.305,30.453
6.012,28.377,30.367
6.013,28.242,30.285
6.012,28.530,30.329
6.011,28.627,30.305
6.011,28.261,30.154
3.677,18.999,30.372
3.677,19.255,30.203
3.679,19.253,30.382
3.678,19.377,30.471
3.678,19.341,30.281
3.677,19.350,30.199
3.679,19.353,30.286
3.677,19.270,30.248
3.676,19.006,30.157
3.676,18.946,30.366
3.676,18.557,30.252
3.675,19.214,29.924
3.676,19.181,30.280
6.012,28.093,30.797
6.010,28.283,30.495
6.011,28.484,30.260
6.011,28.060,30.607
6.012,28.229,30.594
6.011,28.349,30.475
6.011,28.226,30.699
6.010,28.368,30.564
6.012,28.453,30.518
6.011,28.598,30.782
6.014,28.711,30.705
6.013,28.720,30.712
6.014,28.566,30.448
6.014,28.141,30.555
6.015,28.740,30.678
6.012,28.274,30.527
6.013,28.332,30.485
6.014,28.668,30.458
6.014,28.490,30.431
6.013,28.937,30.398
6.012,28.882,30.493
6.012,28.811,30.526
6.012,28.806,30.746
6.014,28.768,30.478
6.012,28.847,30.349
6.012,28.392,30.548
6.011,28.743,30.445
6.011,28.881,30.161
6.013,28.842,30.156
6.012,28.649,30.393
6.012,28.748,30.431
6.012,28.825,30.459
6.013,28.744,30.265
6.012,28.872,30.364
6.013,28.776,30.466
6.013,28.861,30.450
6.013,28.852,30.499
6.013,28.937,30.217
6.013,28.958,30.448
6.013,28.919,30.295
6.014,28.883,30.404
