CD,FI3312B
6.011,31.324
6.011,31.376
6.010,31.471
6.011,31.488
6.010,31.255
6.010,31.488
6.009,31.422
6.010,31.237
6.012,31.218
6.011,31.945
6.011,31.809
6.012,31.762
6.012,31.659
6.012,31.858
6.013,31.651
6.013,31.742
6.012,31.712
6.012,31.818
6.010,31.740
6.010,31.765
6.010,31.715
6.010,31.897
6.011,31.589
6.011,31.553
6.013,31.693
6.010,31.426
6.013,31.669
6.011,31.628
6.011,31.619
6.010,31.618
6.009,31.623
6.011,31.794
6.011,31.575
6.011,31.719
6.011,31.522
6.012,31.464
6.012,31.625
6.011,31.625
6.011,31.683
6.011,31.689
6.010,31.854
6.011,31.720
6.010,31.732
6.011,31.471
6.011,31.518
6.011,31.652
6.012,31.480
6.010,31.757
6.010,31.809
6.011,31.636
6.010,31.816
6.010,31.747
6.009,31.567
6.010,31.706
6.010,31.798
6.012,31.741
6.011,31.708
5.060,31.815
3.677,31.181
4.046,31.319
6.012,31.586
6.011,31.510
6.010,31.503
6.011,31.678
6.010,31.552
6.010,31.608
6.010,31.651
6.009,31.415
6.012,31.667
6.009,31.483
6.010,31.502
6.010,31.542
6.010,31.374
6.010,31.452
6.012,31.537
6.011,31.405
6.013,31.685
6.014,31.623
6.014,31.786
6.014,31.516
6.014,31.622
6.013,31.644
6.012,31.869
6.012,31.703
6.011,31.511
6.011,31.615
6.011,31.748
6.010,31.415
6.010,31.573
6.010,31.570
6.011,31.516
6.011,31.812
6.011,31.553
6.010,31.512
6.011,31.521
6.011,31.672
6.012,31.910
6.012,31.575
6.013,31.492
6.014,31.631
6.011,31.568
6.013,31.677
6.013,31.682
6.012,31.631
6.012,31.604
6.012,31.586
6.011,31.632
6.011,31.889
6.012,31.796
6.013,31.860
6.013,31.910
6.012,31.620
6.012,31.726
6.013,31.512
6.010,31.777
6.012,31.565
6.013,31.723
6.012,31.618
6.013,31.761
6.013,31.778
6.013,31.778
6.014,31.614
6.012,31.534
6.014,31.539
6.015,31.638
6.014,31.428
6.014,31.459
6.013,31.645
6.014,31.656
6.015,31.651
6.014,31.393
6.012,31.654
6.014,31.402
6.012,31.559
6.011,31.593
6.011,31.742
6.012,31.809
6.011,31.598
6.012,31.854
6.011,31.638
4.293,31.593
4.261,31.283
4.260,31.373
4.261,31.301
4.261,31.219
4.260,31.054
4.262,31.101
4.261,30.986
4.260,31.254
4.260,30.869
4.260,31.298
4.260,31.353
4.260,31.068
6.011,31.746
6.012,31.697
6.011,31.422
6.011,31.336
6.009,31.577
6.010,31.352
6.009,31.435
6.009,31.384
6.011,31.461
6.010,31.600
6.010,31.470
6.011,31.448
6.011,31.590
6.011,31.705
6.012,31.464
6.012,31.716
6.012,31.585
6.011,31.599
6.011,31.573
6.011,31.747
6.011,31.801
6.011,31.623
6.014,31.846
6.010,31.758
6.011,31.768
6.011,31.613
6.014,31.519
6.012,31.440
6.012,31.268
6.011,31.447
6.011,31.734
6.012,31.605
6.013,31.574
6.014,31.756
6.013,31.926
6.013,31.480
6.012,31.363
6.013,31.534
6.013,31.621
6.013,31.559
6.012,31.637
6.011,31.668
6.011,31.545
6.011,31.702
6.011,31.612
6.009,31.653
6.010,31.676
6.012,31.835
6.011,31.698
6.010,31.576
6.013,31.587
6.011,31.648
6.011,31.417
6.012,31.740
6.012,31.834
6.012,31.708
6.012,31.578
6.012,31.606
6.013,31.493
6.013,31.628
6.013,31.510
6.012,31.767
6.011,31.961
6.012,31.677
6.010,31.665
6.011,31.902
6.010,31.607
6.010,31.715
6.009,31.586
6.011,31.798
6.010,31.618
6.011,31.640
6.011,31.376
6.011,31.473
6.011,31.665
6.009,31.415
6.012,31.661
6.013,31.632
6.012,31.707
6.012,31.785
6.013,31.538
6.013,31.879
6.012,31.652
6.013,31.695
6.012,31.622
6.012,31.648
6.011,31.673
6.011,31.625
6.013,31.826
6.010,31.757
6.010,31.734
6.011,31.676
6.010,31.539
6.012,31.502
6.011,31.638
6.010,31.541
6.011,31.630
6.010,31.560
6.013,32.056
6.013,31.377
6.013,31.794
6.012,31.629
6.014,31.716
6.014,31.750
6.014,31.419
6.013,31.796
6.014,31.516
6.012,31.561
6.012,31.595
6.011,31.862
6.012,31.666
6.012,31.512
6.011,31.699
6.012,31.623
6.015,31.855
6.013,31.800
6.011,31.711
6.013,31.787
6.012,31.510
6.013,31.754
6.013,31.517
6.014,31.762
6.014,31.622
6.015,31.731
6.015,31.542
6.013,31.638
6.014,31.756
6.013,31.650
6.013,31.722
6.011,31.724
6.010,31.561
6.012,31.511
6.012,31.826
6.011,31.477
6.012,31.484
6.013,31.592
6.014,31.547
6.013,31.558
6.013,31.583
6.013,31.622
6.014,31.636
6.013,31.702
5.982,31.648
6.013,31.639
6.013,31.740
6.014,31.757
6.012,31.496
6.014,31.637
6.013,31.632
6.013,31.548
6.012,31.755
6.013,31.343
6.012,31.608
6.012,31.716
6.014,31.446
6.011,31.408
6.011,31.823
6.011,31.686
6.011,31.626
6.011,31.700
6.010,31.475
6.010,31.603
6.013,31.644
6.014,31.725
6.014,31.956
6.013,31.675
6.013,31.619
6.014,31.552
6.015,31.662
6.015,31.495
6.014,31.598
6.014,31.741
6.014,31.742
6.012,31.733
6.014,31.654
6.013,31.646
6.013,31.784
6.012,31.718
6.013,31.703
6.012,31.464
6.011,31.439
6.011,31.627
6.014,31.613
6.013,31.593
6.011,31.506
6.012,31.752
6.013,31.532
6.014,31.480
6.014,31.691
6.014,31.287
6.014,31.506
6.013,31.686
6.015,31.679
6.014,31.584
6.014,31.815
6.013,31.464
6.012,31.743
6.013,31.884
6.013,31.698
6.014,31.753
6.012,31.672
6.013,31.688
6.010,31.723
6.012,31.661
6.012,31.582
6.011,31.899
6.011,31.902
6.013,31.681
6.012,31.550
6.013,31.369
6.012,31.274
6.014,31.578
6.014,31.651
6.013,31.654
6.013,31.456
6.013,31.562
6.013,31.733
6.013,31.590
6.012,31.704
6.013,31.673
6.012,31.405
6.012,31.661
6.012,31.468
6.010,31.455
6.012,31.575
6.010,31.709
6.010,31.731
6.010,31.610
6.010,31.494
6.011,31.647
6.011,31.572
6.012,31.622
6.011,31.535
6.010,31.502
6.009,31.410
6.009,31.447
6.009,31.821
6.009,31.817
6.010,31.790
6.011,31.548
6.010,31.799
6.009,31.503
6.010,31.488
6.009,31.495
6.009,31.472
6.010,31.434
6.012,31.181
6.011,31.691
6.012,31.570
6.011,31.690
6.009,31.539
6.010,31.465
6.012,31.484
6.013,31.512
6.014,31.727
6.015,31.422
6.014,31.612
6.014,31.702
6.014,31.489
6.013,31.395
6.013,31.610
6.013,31.327
6.013,31.506
6.015,31.459
6.014,31.557
6.013,31.644
6.011,31.700
6.012,31.873
6.011,31.603
6.013,31.910
6.011,31.817
6.011,31.741
6.009,31.736
6.012,31.816
6.013,32.003
6.011,31.814
6.016,31.752
6.015,31.876
6.015,31.747
6.014,31.430
6.014,31.636
6.014,31.661
6.012,31.832
6.013,31.625
6.013,31.406
6.014,31.368
6.013,31.481
6.012,31.463
6.013,31.607
6.012,31.484
6.011,30.950
6.009,31.072
6.010,31.540
6.010,31.373
6.010,31.402
6.012,31.530
6.011,31.499
6.012,31.373
6.012,31.752
6.013,31.401
6.013,31.402
6.014,31.711
6.013,31.763
6.012,31.512
6.012,31.807
6.012,31.894
6.013,31.774
6.012,31.784
6.012,31.679
6.012,31.884
6.013,31.468
6.012,31.367
6.012,31.462
6.011,31.305
6.013,31.412
6.013,31.628
6.012,31.538
6.014,31.612
6.013,31.651
6.013,31.737
6.013,31.892
6.014,31.707
6.014,31.471
6.014,31.663
6.013,31.502
6.013,31.783
6.013,31.519
6.012,31.612
6.013,31.784
6.013,31.494
6.013,31.586
6.014,31.533
6.012,31.460
6.012,31.567
6.012,31.561
6.011,31.489
6.012,31.477
6.012,31.451
6.010,31.452
6.010,31.687
6.011,31.732
6.009,31.624
6.011,31.665
6.011,31.550
6.011,31.806
6.013,31.490
6.012,31.599
6.012,31.561
6.012,31.578
6.012,31.579
6.011,31.247
6.011,31.692
6.015,31.774
6.012,31.674
6.012,31.635
6.012,31.569
6.013,31.569
6.012,31.629
6.012,31.538
6.013,31.382
6.012,31.549
6.012,31.464
6.011,31.384
6.012,31.344
6.013,31.584
6.014,31.571
6.014,31.465
6.013,31.535
6.013,31.485
6.013,31.509
6.014,31.742
6.012,31.318
6.013,31.507
6.012,31.508
6.013,31.641
6.012,31.560
6.012,31.768
6.010,31.617
6.011,31.552
6.011,31.472
6.011,31.625
6.011,31.533
6.013,31.601
6.013,31.569
6.013,31.628
6.013,31.543
6.013,31.523
6.014,31.641
6.014,31.739
6.014,31.640
6.014,31.542
6.012,31.559
6.012,31.404
6.012,31.776
6.012,31.510
6.013,31.617
6.012,31.655
6.014,31.665
6.013,31.547
6.015,31.429
6.015,31.495
6.013,31.521
6.014,31.815
6.012,31.575
6.013,31.651
6.013,31.603
6.013,31.708
6.014,31.516
6.014,31.521
6.015,31.622
6.015,31.828
6.014,31.487
6.015,31.519
6.013,31.535
6.012,31.760
6.012,31.742
6.013,31.453
6.013,31.548
6.013,31.663
6.012,31.510
6.012,31.378
6.014,31.662
6.012,31.559
6.012,31.513
6.012,31.680
6.013,31.491
6.013,31.591
6.014,31.699
6.014,31.561
6.013,31.597
6.015,31.690
6.015,31.848
6.015,31.713
6.014,31.715
6.014,31.555
6.012,31.799
6.014,31.453
6.013,31.674
6.014,31.636
6.015,31.628
6.012,31.596
6.013,31.651
6.012,31.387
6.013,31.655
6.013,31.803
6.014,31.589
6.012,31.723
6.013,31.760
6.013,31.834
2.547,30.883
2.455,30.885
2.331,30.878
6.011,29.879
6.013,29.749
6.012,30.292
6.013,30.227
6.013,30.748
6.014,30.403
6.013,30.608
6.013,30.712
6.012,30.616
3.047,30.184
2.454,29.611
2.454,29.744
2.455,29.995
2.454,29.776
2.453,29.690
2.454,29.674
2.453,29.426
2.452,29.889
2.454,29.941
2.452,29.765
2.453,29.628
2.452,29.399
6.012,30.458
6.012,30.233
6.012,30.391
6.013,30.807
6.014,30.146
6.012,30.573
6.014,29.766
6.013,30.302
6.012,30.501
4.294,29.749
2.452,30.687
2.451,30.935
2.454,30.775
2.453,30.316
2.453,30.525
2.452,30.879
2.453,30.793
2.453,30.558
2.453,30.761
2.453,30.699
2.453,30.567
2.453,30.525
6.012,31.576
6.011,31.801
6.012,31.543
6.012,31.607
6.011,31.478
6.011,31.433
6.012,31.910
6.012,31.382
6.013,32.019
2.456,31.256
2.454,30.867
2.455,30.977
2.454,31.034
2.454,30.682
2.452,30.755
2.454,31.026
2.453,30.703
2.453,30.429
2.451,30.784
2.450,30.836
2.451,30.592
2.451,30.619
6.010,31.066
6.010,31.544
6.011,31.150
6.009,31.202
6.011,31.426
6.011,31.622
6.010,30.827
6.009,31.078
6.011,31.252
3.372,30.628
2.452,30.570
2.454,30.687
2.455,30.890
2.456,30.898
2.456,31.165
2.455,31.017
2.455,31.060
2.455,31.082
2.454,30.700
2.455,31.073
2.454,30.528
2.453,30.570
6.010,31.508
6.010,31.395
6.011,31.302
6.011,31.356
6.011,31.362
6.008,31.347
6.008,31.158
6.010,31.129
6.010,31.285
6.010,31.357
6.008,31.538
6.012,31.143
6.011,31.056
6.012,31.379
6.013,31.056
6.010,31.225
6.012,31.103
6.010,31.343
6.010,30.960
6.009,30.874
6.008,30.712
6.007,30.868
6.006,30.896
6.006,31.276
6.005,30.727
6.006,30.798
6.006,30.760
6.005,30.633
6.005,30.571
6.003,30.721
6.003,30.342
6.005,30.888
6.006,30.957
6.009,30.828
6.011,31.000
6.011,30.875
6.010,30.981
6.012,31.209
6.013,31.040
6.013,31.231
6.012,31.156
6.011,31.512
6.012,31.349
6.011,30.963
6.010,30.899
6.009,30.853
6.009,30.815
6.008,30.862
6.009,30.857
6.008,30.982
6.008,30.911
6.008,30.724
6.007,30.944
6.009,31.044
6.011,30.561
6.012,30.256
6.012,30.620
6.014,30.744
6.013,30.598
6.012,30.306
6.012,30.705
6.013,30.793
6.013,30.780
6.012,30.728
6.012,30.610
6.013,30.850
6.012,30.927
6.009,30.651
6.011,30.683
6.012,30.577
6.010,30.324
6.011,30.550
6.011,30.691
6.010,30.379
6.010,30.313
6.012,30.595
6.013,30.664
6.013,30.590
6.013,30.659
6.015,30.811
6.016,30.851
6.016,30.719
6.014,30.925
6.015,30.815
6.013,30.583
6.012,30.900
6.013,30.576
6.011,30.758
6.011,30.653
6.014,30.552
6.014,30.785
6.013,30.739
6.014,30.420
6.013,30.581
6.011,30.605
6.011,30.795
6.012,30.218
6.014,30.807
6.015,30.464
6.017,30.726
6.015,30.656
6.015,30.602
6.017,30.429
6.017,30.640
6.015,30.312
6.014,30.470
6.013,30.558
6.014,30.586
6.013,30.471
6.014,30.485
6.012,30.656
6.013,30.696
6.014,30.614
6.013,30.649
6.013,30.387
6.014,30.627
6.013,30.564
6.013,30.540
6.013,30.199
3.677,30.308
3.678,30.264
3.678,29.986
3.678,30.170
3.679,29.942
3.678,29.981
3.678,29.895
3.677,29.880
3.677,29.847
3.677,30.000
3.677,30.090
3.678,30.075
3.677,30.210
6.012,30.441
6.013,30.416
6.010,30.515
6.010,30.453
6.012,30.367
6.013,30.285
6.012,30.329
6.011,30.305
6.011,30.154
3.677,30.372
3.677,30.203
3.679,30.382
3.678,30.471
3.678,30.281
3.677,30.199
3.679,30.286
3.677,30.248
3.676,30.157
3.676,30.366
3.676,30.252
3.675,29.924
3.676,30.280
6.012,30.797
6.010,30.495
6.011,30.260
6.011,30.607
6.012,30.594
6.011,30.475
6.011,30.699
6.010,30.564
6.012,30.518
6.011,30.782
6.014,30.705
6.013,30.712
6.014,30.448
6.014,30.555
6.015,30.678
6.012,30.527
6.013,30.485
6.014,30.458
6.014,30.431
6.013,30.398
6.012,30.493
6.012,30.526
6.012,30.746
6.014,30.478
6.012,30.349
6.012,30.548
6.011,30.445
6.011,30.161
6.013,30.156
6.012,30.393
6.012,30.431
6.012,30.459
6.013,30.265
6.012,30.364
6.013,30.466
6.013,30.450
6.013,30.499
6.013,30.217
6.013,30.448
6.013,30.295
6.014,30.404
6.015,30.451
6.012,30.528
6.012,30.326
6.014,30.350
6.014,30.047
6.014,30.054
6.012,30.185
6.013,30.240
6.014,30.142
6.012,30.225
6.012,30.109
6.011,30.256
6.012,30.335
6.012,30.100
6.013,30.281
6.013,30.006
6.013,30.081
6.013,30.369
6.014,30.186
6.013,30.154
6.012,30.219
6.013,30.279
6.012,30.162
6.013,30.132
6.013,30.316
6.012,30.311
6.013,30.207
6.014,30.338
6.015,30.304
6.014,30.119
6.014,30.265
6.013,30.164
6.012,30.171
6.013,30.173
6.012,30.034
6.013,30.160
6.013,30.080
6.013,30.252
6.015,30.198
6.015,30.072
6.016,30.231
6.015,30.169
6.014,30.225
6.015,30.000
6.014,30.154
6.014,30.066
6.014,30.155
6.014,29.964
6.014,30.173
6.014,29.973
6.014,29.992
6.012,30.266
6.012,30.072
6.013,29.755
6.015,30.074
6.012,29.922
6.012,30.134
6.013,30.168
6.013,29.880
6.015,29.869
6.017,30.271
6.013,30.147
6.014,30.094
6.015,30.077
6.014,30.118
6.015,30.180
6.015,30.231
6.014,30.377
6.013,30.140
6.015,30.372
6.013,30.066
6.013,30.177
6.014,30.231
6.014,30.091
6.012,30.226
6.013,30.223
6.014,30.088
6.012,30.068
6.013,30.121
6.013,30.105
6.014,30.297
6.014,30.170
6.014,30.119
6.015,29.963
6.016,30.060
6.016,30.016
6.014,30.196
6.016,30.326
6.015,30.227
6.016,30.256
6.014,30.319
6.012,30.335
6.014,30.076
6.014,30.249
6.015,30.134
6.014,30.117
6.014,30.092
6.014,30.406
6.016,30.101
6.017,30.205
6.014,30.052
6.014,29.957
6.018,29.850
6.016,30.117
6.018,30.224
6.017,29.761
6.015,30.058
6.016,30.238
6.015,29.892
6.019,30.123
6.016,29.939
6.017,30.164
6.017,30.131
6.017,30.027
6.014,29.950
6.014,29.990
6.015,30.159
6.014,29.963
6.012,29.810
6.012,29.751
6.013,29.960
6.014,29.876
6.014,30.164
6.014,29.950
6.015,29.861
6.015,29.906
6.015,29.966
6.016,29.951
6.015,30.279
6.016,29.929
6.016,29.893
6.014,29.987
6.014,30.133
6.016,29.832
6.015,30.131
6.015,30.101
6.014,30.078
6.014,30.110
6.015,30.114
6.014,29.954
6.013,30.021
6.014,30.017
6.014,30.003
6.013,29.777
6.014,29.896
6.014,29.827
6.013,29.881
5.211,29.159
5.578,29.793
6.011,29.936
6.013,30.032
6.013,29.770
6.014,30.052
6.013,30.218
6.010,30.144
6.012,30.233
6.014,30.091
6.012,30.057
6.014,30.005
6.015,30.125
6.013,30.036
6.012,29.923
6.013,29.831
6.011,30.163
6.012,29.870
6.011,29.862
6.013,29.916
6.014,30.072
5.672,29.546
5.671,29.721
6.010,29.672
6.008,29.916
6.008,30.105
6.009,29.725
6.010,29.928
6.011,29.955
6.010,30.054
6.010,29.727
6.011,30.000
6.009,29.714
6.010,29.659
6.011,29.621
6.009,29.879
6.009,29.845
6.009,29.825
6.010,29.588
6.010,29.501
6.009,29.601
6.009,29.538
6.010,29.769
6.009,29.444
6.010,29.754
6.011,29.911
6.010,29.720
6.011,29.706
6.010,29.833
6.010,30.368
6.010,30.425
6.012,30.506
6.011,30.156
6.011,30.243
6.011,30.206
6.010,30.281
6.012,30.279
6.011,30.190
6.011,30.493
6.011,30.256
6.010,30.071
6.010,30.082
6.010,29.855
6.011,30.156
6.014,30.181
6.014,30.461
6.014,30.109
6.014,30.288
6.013,30.302
6.014,30.179
6.014,30.422
6.013,30.188
6.013,30.325
6.014,30.156
6.014,29.991
6.014,29.868
6.014,30.404
6.013,30.313
6.014,30.263
6.015,30.173
6.013,29.960
6.012,30.506
6.012,30.161
6.012,30.246
6.011,30.064
6.012,30.287
6.013,30.088
6.012,30.078
6.013,30.199
6.013,30.030
6.014,30.118
6.012,30.158
6.012,30.123
6.013,30.284
6.013,30.198
6.012,30.127
6.012,30.127
6.014,30.350
6.012,29.994
6.012,30.143
6.013,30.041
6.014,29.870
6.014,30.060
6.014,29.972
6.013,30.040
6.013,30.063
6.013,30.138
6.014,30.061
6.014,30.139
6.014,30.082
6.015,29.876
6.014,30.087
6.015,29.841
6.014,30.052
6.014,30.211
6.015,29.963
6.014,29.857
6.014,30.089
6.013,30.136
6.014,30.097
6.014,30.054
6.014,30.109
6.014,29.990
6.013,30.125
6.014,30.040
6.013,30.137
6.015,29.956
6.014,29.939
6.014,30.067
6.014,30.079
6.013,30.016
6.014,29.994
6.015,30.152
6.014,30.014
6.014,30.117
6.015,29.870
6.015,30.154
6.015,29.959
6.015,29.852
6.016,30.283
6.014,29.941
6.015,29.963
6.014,30.070
6.015,30.196
6.013,30.184
6.014,30.095
6.012,29.917
6.012,30.081
6.013,29.950
6.013,29.946
